#{"t_start": 1765297366.2538664, "env_id": "intersection-v0"}
r,l,t
-0.366834,7,740.37401
3.0,13,740.934725
-2.0,4,741.055661
-1.318719,6,741.336337
9.0,9,741.574728
9.0,9,741.745324
-2.0,4,741.927488
0.0,6,742.237986
2.634943,13,742.90355
-3.434136,7,743.084104
-2.0,11,743.687096
-1.0,5,743.807603
8.615645,10,744.108246
-3.440509,8,744.483434
7.61852,9,744.88953
8.0,8,745.141379
-1.0,5,745.396018
9.0,9,745.760496
9.0,9,746.033431
6.626744,12,746.489793
9.0,9,746.672822
-1.372771,6,746.967551
9.62673,11,747.489405
3.552042,13,748.12622
1.0,13,748.547822
9.0,9,748.872118
-3.372844,5,749.09118
9.0,9,749.26779
-1.0,6,749.446564
8.552805,11,749.786376
0.0,6,750.04788
-1.379585,6,750.35818
7.471021,12,750.976873
-2.0,7,751.343851
5.095422,13,752.028961
6.092872,13,752.412828
-1.0,4,752.527301
10.0,10,752.990064
-1.379585,5,753.165796
-1.0,5,753.315673
0.0,5,753.461181
0.0,6,753.747869
-3.055708,11,754.289743
0.0,5,754.510844
-2.758897,6,754.799576
3.681281,6,755.012674
0.0,5,755.19179
7.615917,9,755.682129
0.420014,6,755.875766
9.0,9,756.077508
7.615917,12,756.675154
-0.841249,5,756.886325
9.0,9,757.116389
-1.447446,7,757.424001
-1.0,5,757.664818
7.61852,9,757.946185
0.0,6,758.138697
-1.0,11,758.797606
0.0,6,758.970224
-1.318719,6,759.245436
7.082823,13,759.814519
8.62673,10,760.296067
0.0,6,760.581983
7.534798,13,761.05269
-1.0,5,761.118661
9.618511,11,761.63659
-1.379585,6,761.799867
2.525159,13,762.378258
-2.382567,7,762.650137
-1.0,5,762.827958
-2.436558,6,763.09511
-4.382153,5,763.274815
-1.0,5,763.477071
-2.0,9,763.970725
-1.0,6,764.092501
-1.318719,6,764.416921
10.0,10,764.744657
10.0,10,765.231948
3.948873,13,765.840442
9.0,9,766.194702
5.244603,10,766.496996
6.538722,10,766.978933
7.552044,10,767.297042
-1.960532,5,767.537617
-2.460952,8,767.895792
-0.381164,6,768.090014
-1.758863,8,768.300485
-1.94673,5,768.526816
-2.0,5,768.910453
8.62673,10,769.236183
5.162999,13,769.946542
8.615645,10,770.340484
6.219843,12,770.757236
-2.0,4,770.971361
7.287531,10,771.400699
7.552042,11,771.922722
-2.0,4,772.058526
-2.0,4,772.208153
9.0,9,772.418237
9.618511,11,772.826671
-1.379585,6,773.010778
9.0,9,773.448941
2.0,13,773.921792
-3.0,7,774.216339
7.525509,12,774.833181
-2.444964,5,775.024652
0.0,6,775.252699
0.0,6,775.554118
7.61852,9,775.801356
11.0,11,776.152463
-2.370348,7,776.438727
-2.373197,6,776.701699
9.617421,11,777.127588
9.0,9,777.532336
7.23166,11,777.941225
-1.318719,6,778.120558
-1.0,5,778.409019
-0.366834,8,778.709239
7.259887,10,778.943531
6.216332,13,779.440958
-2.0,4,779.645534
-0.382068,7,779.962929
9.0,9,780.159639
-2.382567,7,780.585569
4.525485,13,781.116977
-1.991517,6,781.344269
0.0,6,781.631806
3.851043,13,782.216023
0.0,6,782.346662
7.62673,11,782.6138
6.0,10,782.881557
-4.0,10,783.288805
4.534405,13,783.822207
-1.0,5,784.045158
7.0,13,784.52814
0.0,5,784.789465
9.0,11,785.087253
7.61852,9,785.388572
-2.829861,13,786.054358
0.0,6,786.330217
-0.366834,6,786.683547
