#{"t_start": 1765294067.0021012, "env_id": "merge-v0"}
r,l,t
11.773887,14,176.53746
6.774901,8,176.70918
8.205837,10,177.004274
9.384468,11,177.222067
8.79955,10,177.460842
3.905377,5,177.588313
7.744987,9,177.846909
14.528169,16,178.315877
6.068043,7,178.493871
4.809562,6,183.133341
6.155734,7,183.346689
4.941499,6,183.532388
14.606234,17,183.998023
9.189926,11,184.333782
7.988394,9,184.544522
12.436272,15,184.883193
10.916885,15,185.322734
5.830684,7,185.511683
13.815061,15,185.857904
10.022013,12,186.106374
5.634507,7,186.297361
3.398383,4,186.417493
11.239149,15,186.818429
7.671416,9,187.023732
10.697766,14,187.387504
3.29879,4,187.482649
7.035524,9,187.736421
6.926961,9,188.011685
13.550679,15,188.476863
6.551041,8,188.710606
11.30104,14,189.170019
10.28988,12,189.518376
5.900005,7,189.710406
11.333028,16,190.173346
12.133955,14,190.580046
14.217346,16,191.018373
8.732009,11,191.331498
8.097625,9,191.585916
12.967288,15,191.963545
11.995579,14,192.38172
13.780721,17,192.861009
10.83765,14,193.253169
14.884012,17,193.735169
11.600647,13,194.114187
8.88599,11,194.434835
4.111195,5,194.588065
12.015191,15,194.98598
7.450517,9,195.185371
4.243235,5,195.318654
4.802906,6,195.491808
13.317016,15,195.957621
7.897558,9,196.203763
6.738115,8,196.434147
13.040271,16,196.942753
13.745123,16,197.394454
10.883032,13,197.752756
7.373086,9,197.979777
11.331643,15,198.327683
12.339185,14,198.696904
13.634012,16,199.149339
14.467346,17,199.683507
12.566819,16,200.115898
13.133735,15,200.539093
7.021946,8,200.790852
7.977034,9,200.999375
6.715178,8,201.203698
11.892019,14,201.53073
11.852061,15,201.930992
14.550678,17,202.411268
8.125403,9,202.647269
10.702781,13,203.024309
8.595118,10,203.277011
11.078038,13,203.648099
8.268577,10,203.890132
11.861222,15,204.291694
3.394444,4,204.418266
8.548122,11,204.748028
13.722289,15,205.167555
9.104624,11,205.459324
12.189172,17,205.889793
13.207215,16,206.364664
11.105184,13,206.803941
13.495123,16,207.279113
13.161788,15,207.734905
9.77326,12,208.041265
3.855744,5,208.189264
13.884012,16,208.620913
13.272899,15,209.007601
13.717021,16,209.412671
6.867443,8,209.619364
4.895653,6,209.806326
13.356234,15,210.125718
4.884508,6,210.298425
11.720025,16,210.753444
10.346927,12,211.11668
4.886388,6,211.259781
3.416667,4,211.391021
5.080832,6,211.575384
11.250266,15,211.970233
5.969721,7,212.167366
4.800452,6,212.289981
