#{"t_start": 1765327240.6666498, "env_id": "None"}
r,l,t
23.777637,28,949.902679
13.002558,15,952.521738
17.497757,20,953.374178
9.122882,11,954.62524
5.682509,7,955.482916
2.9936442,4,956.322643
11.179014,16,956.759988
15.547353,22,962.743096
15.374544,19,964.561074
15.066288,21,964.561348
5.7033896,7,967.475759
8.814637,12,969.692008
6.043077,9,971.398786
32.7928,40,973.938989
28.843494,40,980.058262
20.679352,27,981.340546
11.196971,14,987.325226
31.478134,40,988.673624
29.565582,40,991.192771
25.174034,35,994.963244
15.04055,21,996.282426
8.107348,11,999.782774
9.609234,12,1004.963634
31.618658,40,1005.850948
30.21399,40,1008.496893
9.73376,13,1010.632838
9.912204,13,1011.498094
26.857565,37,1012.408378
14.545813,16,1017.492651
13.760814,18,1020.077002
20.529936,28,1020.521484
15.422123,21,1020.521779
8.297781,11,1022.27782
5.5980015,7,1023.671578
6.4791565,8,1024.122835
9.992253,12,1025.441112
20.27818,27,1037.074682
24.384144,34,1038.822948
30.110538,40,1039.702134
28.686197,40,1041.02357
4.646153,6,1042.315814
13.502545,16,1045.772469
9.016286,11,1047.07974
21.855042,26,1048.3902
6.1083746,8,1049.299505
7.507085,9,1052.322447
1.6,3,1053.649981
1.8216594,3,1054.964621
5.0138493,7,1058.023256
30.378286,40,1058.469317
21.792547,28,1059.325205
3.2,5,1060.580513
6.5021772,9,1061.902074
5.6027412,7,1064.834428
27.193935,37,1065.277369
11.425613,13,1066.151002
15.4764385,19,1067.442717
6.6601715,8,1069.50379
13.14121,16,1071.660473
2.2291603,3,1072.937463
11.283828,13,1075.135775
1.9349824,3,1076.424232
18.875576,25,1078.163123
28.107857,39,1081.994504
9.332142,14,1082.417079
22.384066,26,1084.096206
4.44585,7,1084.951901
7.6035976,9,1086.246376
6.660438,9,1087.965927
13.663827,16,1091.849107
10.683066,12,1093.122026
13.278959,17,1093.540063
3.8811893,5,1093.965578
1.8609786,3,1094.802801
29.964142,40,1095.253896
9.946074,12,1098.362176
12.464358,17,1101.360362
11.682762,17,1102.637231
19.731495,25,1105.681859
8.682952,10,1105.682127
19.476679,24,1108.669592
1.9066546,3,1110.042794
4.8379493,6,1112.552889
6.1554103,9,1116.378581
20.39046,27,1117.199259
30.282845,40,1119.728526
9.16377,11,1121.041605
8.080525,10,1121.464395
3.4822593,5,1121.895736
28.848066,40,1122.769421
6.062309,8,1124.933564
4.3280883,6,1125.372219
13.173345,16,1128.838749
8.572986,12,1130.144478
2.4651794,4,1130.580875
9.332668,12,1130.581173
19.323427,24,1131.460954
2.4221196,4,1132.387388
5.4866204,7,1133.706312
8.551236,12,1136.748636
9.399054,11,1138.48807
17.55231,22,1141.847986
5.5549693,8,1145.214545
29.457335,35,1145.214828
19.128813,26,1149.442374
10.146754,12,1150.26796
16.049728,20,1153.621963
31.458622,40,1153.622216
6.9490557,8,1157.010211
12.842488,18,1157.010501
2.8043885,4,1158.853091
8.910662,13,1159.311931
18.800896,26,1161.499705
6.688193,10,1163.299125
9.253631,12,1164.617023
3.0158663,4,1165.074708
6.860174,8,1165.074992
3.3817866,5,1166.765874
3.5261583,5,1167.193265
3.1782217,4,1168.490442
27.065214,36,1172.829972
12.714151,15,1179.230175
1.971826,3,1180.579533
24.299314,31,1181.870162
31.152235,40,1182.302401
29.701782,40,1184.444697
8.822088,12,1185.722892
16.198652,24,1192.032317
15.326508,21,1193.30693
23.032715,32,1195.926134
12.17201,16,1198.943004
5.8837442,7,1198.943266
23.592754,32,1199.369336
6.394744,8,1202.716456
4.372739,6,1205.27225
1.9720898,3,1206.556672
17.096405,22,1208.401142
5.0038795,8,1210.15497
32.182594,40,1210.590441
4.7102776,7,1211.457867
25.011948,32,1212.766175
8.482232,12,1215.868721
5.412554,7,1215.868986
11.108681,14,1216.33242
7.046839,10,1220.592986
11.231833,13,1221.434786
1.938435,3,1221.858001
19.436415,26,1222.726154
2.6666665,4,1224.401153
0.9807407,2,1225.249957
19.562956,24,1226.104562
8.501786,11,1226.104826
2.7772148,4,1227.794129
13.689153,15,1232.709689
8.505853,11,1232.709947
2.775716,4,1234.419948
20.663778,29,1234.420568
24.553726,32,1239.128833
17.95243,25,1243.400367
19.677382,25,1245.177794
13.555883,19,1247.275406
28.484716,39,1251.065344
14.029953,16,1251.93524
9.575997,12,1256.226549
21.854523,25,1258.000346
3.9340272,6,1258.905899
31.804276,38,1259.808425
16.63302,19,1260.275949
1.7096124,3,1261.556152
7.4933414,10,1265.763982
15.402128,22,1268.391797
1.1789913,2,1269.274178
19.438015,27,1269.701469
3.1476696,4,1271.391448
10.198639,14,1271.812036
34.43441,40,1277.078743
4.992446,6,1279.623718
19.722467,25,1282.278008
25.67995,35,1284.371738
3.8906884,5,1284.372049
24.321672,32,1285.643013
2.5985126,4,1286.0602
14.1607,21,1288.599397
8.329597,12,1289.44859
4.8918467,7,1292.432263
11.6828165,15,1292.432575
4.04712,6,1295.055553
14.817514,18,1296.447933
3.8837671,5,1297.364666
7.8022423,11,1297.365
1.8905954,3,1298.725486
5.3094583,8,1300.056591
3.7491996,5,1300.947559
2.0438817,3,1301.411235
27.705982,37,1301.857039
4.303813,6,1303.534866
2.9255662,4,1303.535149
22.333324,30,1310.489899
4.552433,7,1313.460241
17.64184,26,1314.765003
4.6015153,6,1316.086323
21.104866,29,1316.086562
1.7762904,3,1317.488738
30.605928,40,1318.912638
17.167028,21,1324.003614
13.211923,16,1324.431703
1.0684386,2,1325.314311
2.6444445,4,1325.753062
20.012571,25,1329.664315
10.778931,15,1331.756964
14.346586,17,1333.057615
28.330433,39,1333.05791
2.2251747,4,1333.491261
18.425173,22,1339.04158
4.0834274,6,1341.605268
25.973478,33,1347.169651
31.181654,40,1350.385384
31.695358,40,1350.840976
22.67692,30,1354.735101
6.4379506,8,1358.26909
20.175625,27,1362.434036
22.751059,32,1364.095162
28.508158,40,1364.519229
4.036723,5,1364.51957
12.732682,17,1365.38289
6.529355,8,1367.541539
3.8843188,5,1367.541794
16.813816,20,1373.097756
15.3987055,20,1373.098018
2.0211656,3,1374.35006
6.726863,8,1377.84346
21.934238,29,1380.030261
22.280422,30,1380.456417
2.6666665,4,1381.768507
8.37905,10,1382.205878
17.485285,23,1383.066347
2.9047554,4,1383.912956
9.568999,11,1387.668569
6.109723,9,1387.668837
19.16821,22,1389.900237
19.549255,25,1392.482857
11.622866,14,1393.749103
4.3951125,6,1395.022254
2.310291,4,1396.733403
17.578423,24,1397.988949
17.409353,24,1400.101029
2.4414394,4,1401.799711
7.4188876,10,1402.227999
7.5957637,11,1406.442508
24.98737,34,1408.161691
31.307064,40,1413.743658
8.862582,13,1413.743901
12.907253,19,1414.651846
28.021927,40,1419.446342
11.760837,14,1419.88676
10.484983,14,1419.887058
1.7992239,3,1421.169863
5.601825,9,1423.295435
5.0168586,7,1426.320638
6.3567595,9,1430.352524
28.378315,40,1432.030313
2.0467837,3,1433.3398
30.15131,40,1437.255854
32.014366,40,1438.514202
16.240402,22,1439.827178
4.7732077,6,1442.416564
1.8868308,3,1443.710409
20.278006,26,1444.603131
12.910425,16,1445.447997
1.888326,3,1445.879992
2.7066545,4,1447.142488
7.8601847,9,1447.560559
12.41993,15,1452.233737
33.55347,40,1454.450892
12.987304,16,1454.451168
2.5501666,4,1456.149468
3.999898,6,1456.998764
4.37915,7,1460.013411
25.345184,32,1460.912026
12.5789385,17,1463.568366
4.6614113,6,1463.568663
3.5069036,5,1465.832993
2.9269776,4,1467.525113
28.442385,40,1469.607618
13.37502,18,1477.393225
30.374554,40,1477.393498
