#{"t_start": 1765400232.2934375, "env_id": "None"}
r,l,t
28.000008,65,345.371034
8.666668,19,345.640968
33.666676,68,346.6173
16.333326,40,347.169042
30.333345,70,348.161728
16.999994,46,348.780601
39.99998,97,350.08723
27.000008,62,350.953153
8.666666,21,351.237731
31.333347,67,352.156811
28.33335,72,353.119013
8.333334,20,353.407258
14.999997,38,353.927217
10.333334,20,354.191931
3.333333,9,354.332037
21.333334,47,354.981217
11.000001,22,355.298053
18.666666,45,355.938506
22.0,47,356.608558
8.666667,17,356.83423
29.333344,63,357.710601
23.666672,48,358.356091
42.66665,91,359.57098
29.33335,69,360.482636
6.3333335,12,361.090463
32.666676,67,362.01174
24.333334,56,362.7845
42.333336,90,364.066002
18.33333,42,364.633387
42.999985,98,365.981866
16.66666,43,366.551149
9.666667,20,366.850754
27.666681,60,367.662369
7.0,14,367.85038
17.333328,37,368.349155
35.666676,86,369.4891
37.000004,80,370.559452
17.666664,32,371.022169
40.666656,89,372.236705
41.33332,91,373.508729
44.0,97,374.816742
74.00002,160,376.95495
35.000008,76,378.00599
29.000013,72,378.954731
47.3333,95,380.262495
1.3333334,3,380.305725
31.33335,71,381.271426
14.333329,30,381.677669
24.000006,49,382.371022
13.33333,31,382.797053
3.6666665,8,382.918079
41.0,78,384.000794
5.333333,13,384.186841
71.33332,160,386.388073
20.999994,44,387.000668
11.999998,23,387.334569
31.666681,78,388.350141
42.666656,81,389.895864
17.33333,43,390.537522
41.333313,95,391.878175
1.0,2,391.91295
31.666676,54,392.620867
36.666668,79,393.766645
20.333332,44,394.365653
37.333336,65,395.152348
23.0,44,407.881486
9.333332,19,408.16666
25.666668,62,408.979099
67.99994,160,411.162107
31.333353,77,412.245135
11.999998,29,412.656242
53.666637,112,414.122544
12.666665,23,414.431322
37.999985,73,415.413503
21.333328,47,416.073257
16.333328,36,416.593202
75.66665,144,418.521461
40.666656,95,419.856791
14.666663,29,420.214668
36.00001,83,421.348651
36.333336,84,422.489335
14.666664,25,422.824657
71.666626,144,424.802977
34.000008,63,425.679964
4.333333,10,425.82354
13.333332,33,426.276242
35.66667,64,427.106206
17.33333,41,427.65777
25.333338,55,428.37589
81.66671,160,430.829816
20.666668,39,431.401736
77.33333,160,433.555969
20.333336,44,434.146872
40.666656,85,435.263244
19.333334,45,435.844607
35.000004,72,436.831842
21.666672,50,437.47077
1.3333334,3,437.52221
30.333342,64,438.357073
78.66665,160,440.541017
28.333342,52,441.188941
41.666664,76,442.21442
37.66667,68,443.138367
39.333324,81,444.265075
14.33333,30,444.689331
44.99998,92,445.926036
31.333344,57,446.680793
18.0,33,447.154582
39.333344,83,448.290654
9.0,16,448.514445
10.666666,21,448.812182
4.333333,8,448.923056
4.333333,10,449.071185
38.66666,77,450.1124
28.333342,52,450.821416
26.666668,57,451.589208
10.999999,22,451.889131
72.99998,150,453.876381
20.666668,43,454.490481
14.999995,32,454.922909
10.999998,22,455.23595
3.9999998,9,455.356817
56.999954,120,456.996584
10.666666,21,457.284024
6.6666665,13,457.465112
31.00001,62,458.796537
9.333333,19,459.038368
27.000011,58,459.842076
19.000004,42,460.357882
39.666668,76,461.392999
19.999996,45,461.997029
10.666665,23,462.289492
27.000008,54,463.041505
27.666677,52,463.718948
51.666653,90,464.908579
18.666666,37,465.425789
0.6666667,3,465.470594
10.666665,21,465.759124
39.33332,89,466.941491
28.666674,57,467.732707
77.99998,160,469.920887
57.333305,113,471.41994
10.666666,25,471.756071
41.333324,73,472.71905
4.6666665,11,472.868126
48.66665,107,474.340627
56.999954,116,475.901809
3.0,6,487.849654
44.99997,96,489.150484
24.333342,54,489.930112
79.33331,160,491.952741
5.0,8,492.065443
25.666674,44,492.59685
18.666664,41,493.163188
32.33334,70,494.097191
2.6666667,5,494.176822
51.999958,117,495.738056
33.333344,75,496.688822
41.999996,77,498.281038
22.0,49,498.960274
6.0000005,13,499.13
21.333338,45,499.741103
9.666666,22,500.058219
27.000008,50,500.709845
40.99999,94,502.008846
37.333336,81,503.063435
4.9999995,10,503.205644
16.666666,31,503.631294
12.666665,25,503.98353
12.999998,24,504.273972
16.666662,33,504.725776
16.999998,32,505.18608
32.000008,53,505.92009
17.33333,37,506.423501
16.33333,38,506.964136
10.666667,17,507.20218
35.666676,80,508.314907
0.6666667,3,508.355187
82.666664,160,510.497063
51.666645,108,511.956235
14.666665,29,512.369038
32.66668,63,513.254454
41.333324,89,514.506291
24.000006,55,515.288011
42.333332,78,516.353435
10.333333,18,516.605997
12.333331,24,516.94471
4.6666665,13,517.146272
6.0000005,13,517.318562
28.333338,52,518.052017
40.666653,81,519.152289
55.333313,115,520.759334
27.33334,57,521.518595
4.9999995,12,521.716861
4.666666,11,521.881561
6.333333,14,522.084767
30.333344,66,522.971349
7.0,14,523.167552
46.99998,84,524.346517
82.66667,160,527.146168
34.33334,74,528.338698
31.666674,68,529.523665
7.333334,15,529.725315
42.999985,88,531.257309
23.66667,42,531.975869
84.33335,158,534.613401
83.33334,160,537.368698
14.33333,28,537.912154
39.99999,73,539.163943
53.999966,107,540.922114
75.999954,160,543.527418
9.333334,15,543.798973
10.999999,18,544.107043
6.333333,12,544.313358
25.333338,47,545.130432
17.666664,32,545.623997
32.33334,62,546.698136
35.000004,70,547.863231
