#{"t_start": 1765290655.4784973, "env_id": "merge-v0"}
r,l,t
15.707506,18,162.008536
12.672078,14,162.119674
29.79556,35,162.417876
24.618001,32,162.682254
25.413277,31,162.96417
28.296495,33,163.259639
18.069977,23,163.461595
24.444179,31,163.733166
24.23226,29,163.990102
26.934366,31,164.268598
23.604528,28,164.516979
11.516185,14,164.634142
26.155533,29,164.90001
17.045802,20,165.064445
17.322407,21,165.227214
22.355405,26,165.4375
25.739252,34,165.729218
23.858488,31,165.985079
11.706287,13,166.101073
14.730625,16,166.225261
27.632313,32,166.493126
11.341893,13,166.61586
16.724336,19,166.779075
26.305551,32,167.016202
17.408537,20,167.168899
26.343847,30,167.420947
11.58693,13,167.528752
30.493251,36,167.836644
20.734009,24,168.031976
11.604127,13,186.679553
27.764725,32,186.992573
29.628785,35,187.313811
28.131846,33,187.598858
8.029893,9,187.690915
26.885594,33,187.95806
30.096433,35,188.262297
18.663914,22,188.441547
19.553474,23,188.633857
30.462194,36,188.935957
26.724531,30,189.174969
22.652286,28,189.405424
17.583526,21,189.571134
26.336957,32,189.839989
27.517735,32,190.127046
28.184449,32,190.403764
27.539883,33,190.682132
15.127803,18,190.833403
19.35607,24,191.033703
28.542399,33,191.31219
15.112581,17,191.440625
26.504843,32,191.711617
26.573204,30,191.981987
31.073338,36,192.287158
19.465616,23,192.46943
17.805112,21,192.63041
15.431095,18,192.772116
10.534832,12,192.873515
8.840595,10,192.952611
30.101116,35,193.240495
21.158418,25,193.432302
10.674305,12,193.532928
7.88701,9,193.603837
23.981415,28,193.84618
29.792583,34,194.136442
17.488688,21,194.324675
24.964176,33,194.593441
26.524353,32,194.847326
20.026434,25,195.060666
25.837346,31,195.335115
22.418449,27,195.583498
20.246031,25,195.792071
21.100244,25,196.02988
19.571489,25,196.242247
27.750919,34,196.507966
28.272919,33,196.772473
15.461018,18,196.915145
26.197327,30,197.157456
18.989332,21,197.346225
18.355221,22,197.52984
15.591608,20,197.699225
29.462206,34,197.993466
9.606565,11,198.08008
24.448839,34,198.373653
25.109084,35,198.658604
14.773378,17,198.809309
28.489815,33,199.081706
25.530685,30,199.32612
20.467771,24,199.534581
8.165296,9,199.609674
9.687405,11,199.699786
28.118209,33,199.991909
24.473809,29,200.261267
25.870296,33,200.534712
13.017459,15,200.636384
13.95831,16,200.756452
8.874346,10,200.834046
16.104347,18,200.992887
27.234327,33,201.260277
29.072706,35,201.557507
25.839484,36,202.071378
30.823338,36,202.365829
25.728373,36,202.667533
30.740005,36,202.953607
25.811706,36,203.240141
28.9342,34,203.758692
15.182904,17,203.903414
25.051859,34,204.199388
15.581096,18,204.360151
20.550319,25,204.588524
24.386838,29,204.875679
9.616713,11,204.973873
9.662878,11,205.087613
25.175056,30,205.362069
11.563509,13,205.459038
26.531474,31,223.223727
25.378217,34,223.528529
19.950842,24,223.746745
17.272515,20,223.929528
9.756997,11,224.031173
28.150994,35,224.326224
21.573814,25,224.552172
22.708657,27,224.860824
27.460274,34,225.210961
18.688776,25,225.460953
22.864134,28,225.730196
27.366949,31,226.039414
22.472232,27,226.2934
13.200967,15,226.442004
22.983334,29,226.712981
24.058146,28,226.971047
11.189855,13,227.086196
15.488138,19,227.250837
25.121302,33,227.515632
24.07766,32,227.803652
23.244272,27,228.060626
22.772881,27,228.31673
25.076064,34,228.659565
15.209904,18,228.814857
21.239875,25,229.068887
19.544341,24,229.319799
22.011038,26,229.577913
27.100178,32,229.87132
17.86652,21,230.089833
24.43679,32,230.392853
16.823759,19,230.59097
9.529747,11,230.689445
20.141857,24,230.905706
28.614984,36,231.257879
28.91009,34,231.591509
27.389554,31,231.905329
24.839078,33,232.205021
28.933154,34,232.536565
16.229577,19,232.714846
20.858392,25,232.96048
7.785206,9,233.035129
17.991958,22,233.232113
21.202807,25,233.446474
27.297226,31,233.719133
16.127963,19,233.895425
23.10018,27,234.119774
26.594574,33,234.408186
18.105212,20,234.576892
26.893732,33,234.864074
26.523603,32,235.155706
25.413278,31,235.438154
27.464845,31,235.726599
25.757753,35,236.018847
12.350751,14,236.1455
8.772058,10,236.236534
21.265462,27,236.473643
27.210759,31,236.738951
25.925388,31,237.029467
24.030746,28,237.286814
10.411968,12,237.393482
12.438302,14,237.524164
28.184326,31,237.79808
30.125372,35,238.130839
24.512099,28,238.376886
27.113119,31,238.66039
24.155807,29,238.900477
21.22504,26,239.122977
24.931686,33,239.408803
16.404867,19,239.571035
13.67516,16,239.715843
8.865607,10,239.799014
12.047996,14,239.921686
20.176951,24,240.134809
28.789876,34,240.432989
20.42819,24,240.646815
20.722094,24,240.846087
24.817049,34,241.147892
7.879902,9,241.229074
30.045539,35,241.53495
21.184401,25,241.758941
29.398091,33,262.901451
28.0733,32,263.227174
21.783114,28,263.485238
28.756348,32,263.808851
28.712038,33,264.111338
24.628029,29,264.38998
29.293505,34,264.693999
25.201603,31,264.975979
18.311349,22,265.178782
24.73898,29,265.442136
27.178738,33,265.730579
23.755506,28,265.974318
23.241397,27,266.230092
8.879773,10,266.316625
26.242478,32,266.602849
27.432374,31,266.886821
27.684443,31,267.188886
22.044533,26,267.45102
30.212227,36,267.829219
18.151277,21,268.030701
21.309254,25,268.278995
29.79873,35,268.660913
23.542626,27,268.947562
29.228413,34,269.321879
29.539868,36,269.710292
17.711195,21,269.934178
24.850418,32,270.243582
26.984306,33,270.553025
29.432396,35,270.919511
22.245821,28,271.188474
17.862008,21,271.407972
27.754322,34,271.759452
26.96419,31,272.079671
21.160013,24,272.322988
13.008449,15,272.480276
23.116353,27,272.773585
16.875213,21,273.010794
28.69532,34,273.369529
30.712227,35,273.747081
29.74,34,274.116379
22.673769,27,274.428705
26.729509,33,274.762868
28.478743,35,275.145622
27.485246,32,275.474767
24.698415,35,275.809589
20.370226,24,276.018388
19.215178,24,276.249717
22.897393,27,276.4856
28.576757,34,276.818096
16.277354,19,277.005289
26.509867,32,277.311383
18.56215,22,277.515368
24.939944,29,277.791307
20.517881,26,278.031233
29.515524,36,278.382139
11.905197,14,278.509893
19.933713,24,278.730834
24.539409,34,279.072073
17.670373,22,279.28691
19.371665,23,279.498892
25.469781,33,279.798376
29.099758,35,280.128863
27.650989,34,280.443805
10.099466,12,280.549967
29.628894,35,280.871954
29.406672,34,281.212624
28.184445,32,281.557429
15.275102,18,281.715829
20.600233,25,281.95868
28.961945,34,282.313098
28.461017,33,282.631538
27.570174,33,307.074049
24.789857,29,307.481412
25.136862,35,307.870346
29.212226,34,308.237564
18.851197,23,308.453412
25.426865,34,308.794894
25.980719,31,309.112518
27.909686,34,309.450107
31.071864,35,309.821102
22.6681,26,310.077034
28.697862,35,310.406628
29.655771,34,310.743576
30.184435,35,311.086629
27.128026,33,311.441703
20.387583,27,311.706099
24.841987,35,312.053988
24.758637,34,312.407048
28.856828,36,312.764197
28.19576,35,313.136266
30.323214,35,313.503101
24.231772,28,313.800371
18.397026,22,314.019743
27.822927,32,314.355885
26.348976,32,314.689795
22.04735,25,314.958264
21.583025,28,315.246226
19.678696,25,315.5006
28.752578,36,315.869256
18.514862,22,316.079865
27.933582,34,316.440459
15.2042,19,316.635669
27.734666,34,316.998164
20.108938,26,317.254228
29.322424,34,317.616302
30.851116,36,318.027596
25.41963,30,318.367451
29.544059,35,318.732492
31.045527,36,319.152127
27.33383,33,319.488157
16.455417,21,319.728704
30.536239,36,320.095173
21.792325,27,320.372093
26.540686,31,320.707555
29.645991,35,321.049637
25.831827,36,321.421773
28.289876,35,321.804072
28.55177,36,322.165087
26.900124,34,322.534022
27.448317,34,322.887599
18.878841,23,323.133016
22.701706,29,323.473641
30.768322,35,323.860886
24.351742,32,324.212911
21.651342,28,324.537969
27.669244,34,324.885057
24.780726,29,325.19959
29.767167,34,325.579857
15.38126,18,325.775789
13.077197,15,325.911499
14.556032,16,326.090008
29.534693,35,326.508959
29.073329,34,326.837754
